Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
395  Points		394  Points		394  Points		388  Points		371  Points		361  Points		159  Points		395  Points		381  Points		376  Points		360  Points		172  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.91801	2.66764	0.526173	0.216557	1.91371	2.66593	0.801498	0.320598	1.14475	1.93551	1.47949	0.362639	1.82996	0.828889	0.521646	0.49808	0.798161	2.91401	1.13534	0.253957	1.4855	1.2968	1.82845	0.478087
1.91186	2.66509	0.526639	0.189389	1.90756	2.6633	0.802165	0.258631	1.14929	1.99463	1.4803	0.339503	1.83193	0.88054	0.522717	0.433467	0.805002	3.0117	1.13589	0.23155	1.48855	1.3485	1.82952	0.450583
1.90572	2.66248	0.527047	0.167645	1.90142	2.66055	0.802692	0.199047	1.15396	2.04857	1.48106	0.319671	1.83402	0.929789	0.523646	0.375782	0.812059	3.10104	1.1364	0.214129	1.49172	1.39655	1.83053	0.425237
1.89958	2.65975	0.527412	0.150891	1.89528	2.65775	0.803084	0.142228	1.15874	2.09718	1.48178	0.303517	1.83622	0.976358	0.524451	0.324931	0.819313	3.18204	1.13688	0.201991	1.495	1.44085	1.83148	0.402305
1.89344	2.65692	0.527703	0.140149	1.88916	2.65487	0.803348	0.0883308	1.16364	2.14029	1.48246	0.291277	1.83853	1.02006	0.525146	0.280718	0.826743	3.25462	1.13728	0.196124	1.49837	1.4812	1.83238	0.382074
1.88731	2.65398	0.527937	0.133626	1.88303	2.65188	0.803491	0.0373952	1.16862	2.17772	1.48312	0.283278	1.84093	1.0608	0.525746	0.242828	0.834332	3.31889	1.13761	0.194895	1.50183	1.51735	1.83324	0.364758
1.88119	2.65094	0.528123	0.129993	1.87692	2.64876	0.803521	-0.0103382	1.17369	2.20936	1.48377	0.279803	1.84342	1.09834	0.526266	0.210956	0.842059	3.37487	1.13789	0.196709	1.50537	1.54923	1.83407	0.350561
1.87508	2.64781	0.528267	0.128296	1.87081	2.64552	0.803444	-0.0548016	1.17815	2.23224	1.48441	0.281058	1.846	1.13256	0.52672	0.184839	0.849906	3.42252	1.13811	0.200179	1.50898	1.57674	1.83486	0.339671
1.86897	2.64454	0.528373	0.127601	1.86471	2.6422	0.803268	-0.0960553	1.182	2.24807	1.48506	0.287448	1.84865	1.16335	0.527119	0.164127	0.857854	3.46184	1.13828	0.203772	1.51265	1.59975	1.83563	0.33232
1.86288	2.64116	0.52844	0.127441	1.85862	2.63878	0.803	-0.134077	1.18519	2.25854	1.48574	0.299129	1.85137	1.19057	0.527477	0.148424	0.865882	3.49266	1.13839	0.206593	1.51636	1.61815	1.8364	0.328677
1.85679	2.6377	0.528537	0.127638	1.85253	2.63523	0.802649	-0.168798	1.18773	2.26527	1.48644	0.31634	1.85414	1.21419	0.527804	0.137387	0.873971	3.51485	1.13854	0.211595	1.52012	1.63181	1.83715	0.328862
1.8507	2.63414	0.528642	0.128232	1.84646	2.6315	0.802221	-0.200332	1.18959	2.26906	1.4872	0.339409	1.85697	1.2341	0.528111	0.130696	0.882102	3.52825	1.13872	0.218058	1.52389	1.64075	1.83791	0.333114
1.84463	2.63038	0.528786	0.129693	1.84039	2.62771	0.801725	-0.228769	1.19079	2.27111	1.48801	0.368481	1.85984	1.25026	0.528407	0.128047	0.890254	3.5325	1.13897	0.2286	1.52769	1.64494	1.83869	0.341545
1.83857	2.62654	0.528972	0.132777	1.83433	2.62378	0.801166	-0.25412	1.19251	2.27349	1.4889	0.403775	1.86274	1.26259	0.528702	0.129139	0.898404	3.52712	1.13931	0.245016	1.53148	1.64423	1.83949	0.354232
1.83251	2.62258	0.529203	0.138101	1.82828	2.61966	0.800552	-0.276501	1.19439	2.27505	1.48987	0.44543	1.86567	1.27106	0.529003	0.133713	0.906531	3.51161	1.13974	0.269617	1.53528	1.63863	1.84032	0.371256
1.82646	2.6184	0.529488	0.146415	1.82224	2.61545	0.79989	-0.296004	1.19694	2.27598	1.49095	0.493586	1.86861	1.2757	0.529319	0.141421	0.914609	3.48543	1.14032	0.305671	1.53905	1.62825	1.8412	0.392707
1.82043	2.61414	0.529839	0.158508	1.81621	2.61107	0.799186	-0.312714	1.20017	2.27482	1.49215	0.548369	1.87155	1.27649	0.529656	0.152012	0.922615	3.44781	1.14108	0.356979	1.54279	1.61305	1.84214	0.418689
1.8144	2.60972	0.53022	0.173088	1.81019	2.60654	0.798447	-0.326781	1.20406	2.27007	1.49348	0.609814	1.8745	1.27345	0.530021	0.165328	0.93052	3.39798	1.14197	0.419841	1.54649	1.59296	1.84313	0.449193
1.80838	2.60514	0.530637	0.190045	1.80418	2.60188	0.797678	-0.338283	1.20862	2.25978	1.49497	0.677847	1.87743	1.26663	0.530419	0.181105	0.938296	3.33516	1.14301	0.495436	1.55014	1.56818	1.84421	0.484201
1.80238	2.60045	0.531097	0.209108	1.79818	2.59702	0.796886	-0.34733	1.21382	2.24167	1.49661	0.752169	1.88034	1.25607	0.530856	0.199101	0.945911	3.25845	1.14425	0.584687	1.55373	1.53884	1.84537	0.523674
1.79638	2.59552	0.531602	0.230138	1.7922	2.592	0.796075	-0.35405	1.21896	2.21676	1.49819	0.821991	1.88323	1.24183	0.531338	0.219158	0.953333	3.16722	1.14571	0.688418	1.55724	1.50497	1.84663	0.567537
1.7904	2.59043	0.532159	0.252994	1.78622	2.58679	0.795252	-0.358509	1.22405	2.18482	1.49965	0.885181	1.88607	1.22405	0.531868	0.241125	0.960527	3.06085	1.14743	0.807301	1.56067	1.46675	1.84799	0.615713
1.78443	2.58522	0.53277	0.277496	1.78026	2.58141	0.794421	-0.360848	1.22905	2.14593	1.50095	0.939776	1.88887	1.20277	0.532451	0.26478	0.967458	2.93899	1.14944	0.941705	1.56401	1.42453	1.84947	0.668046
1.77847	2.5798	0.533439	0.303444	1.77431	2.57587	0.793586	-0.361176	1.23395	2.09996	1.50202	0.984448	1.89162	1.17823	0.53309	0.29001	0.97409	2.80182	1.15177	1.09142	1.56684	1.38463	1.85107	0.724298
1.77252	2.57414	0.53417	0.330736	1.76837	2.57014	0.792754	-0.359582	1.23874	2.04706	1.50285	1.01802	1.89431	1.15054	0.533789	0.316652	0.980388	2.64996	1.15447	1.25592	1.56918	1.34841	1.85281	0.784289
1.76659	2.56833	0.534966	0.359287	1.76245	2.56416	0.791927	-0.356148	1.2434	1.98736	1.50339	1.04001	1.89693	1.11983	0.534551	0.344547	0.986319	2.48475	1.15757	1.43386	1.57107	1.31698	1.85469	0.847728
1.76067	2.56235	0.535828	0.388907	1.75654	2.55798	0.79111	-0.350989	1.24791	1.92104	1.50419	1.07206	1.89948	1.0864	0.535379	0.37362	0.991855	2.3081	1.16109	1.62317	1.57253	1.29126	1.85672	0.914328
1.75476	2.55609	0.53676	0.4195	1.75064	2.55164	0.790307	-0.344161	1.25226	1.84851	1.50509	1.10733	1.90195	1.05044	0.536275	0.403757	0.996971	2.12273	1.16506	1.82125	1.57359	1.27194	1.85891	0.983733
1.74887	2.54966	0.537764	0.45102	1.74476	2.54503	0.789522	-0.33573	1.25644	1.77009	1.50636	1.15644	1.90433	1.01221	0.537242	0.434828	1.00165	1.9319	1.1695	2.0248	1.57425	1.2593	1.86126	1.05545
1.743	2.54302	0.538842	0.483333	1.7389	2.5382	0.788758	-0.325838	1.26043	1.68632	1.50804	1.21983	1.90662	0.971934	0.538282	0.466734	1.00589	1.73904	1.17441	2.23033	1.5752	1.2409	1.86378	1.12917
1.73714	2.5361	0.539995	0.516372	1.73305	2.53118	0.788018	-0.314557	1.26422	1.59781	1.5102	1.29825	1.90881	0.929985	0.539396	0.499422	1.00968	1.54779	1.17979	2.4342	1.57622	1.22064	1.86647	1.20445
1.7313	2.52902	0.541225	0.55003	1.72722	2.5239	0.787306	-0.301922	1.2678	1.50514	1.5129	1.39233	1.91091	0.886662	0.540587	0.532759	1.01303	1.36157	1.18564	2.63293	1.57757	1.19246	1.86934	1.28076
1.72547	2.52166	0.542533	0.584254	1.7214	2.51636	0.786625	-0.287987	1.27117	1.40926	1.51624	1.50241	1.9129	0.842204	0.541855	0.566676	1.01596	1.18331	1.19194	2.82355	1.57923	1.15606	1.87238	1.35763
1.71966	2.51405	0.543921	0.61898	1.71561	2.5086	0.785977	-0.272816	1.27431	1.31089	1.51984	1.61389	1.9148	0.797086	0.543202	0.601176	1.01849	1.01542	1.19867	3.00386	1.58118	1.111	1.8756	1.43462
1.71387	2.50623	0.545389	0.654142	1.70983	2.50055	0.785366	-0.256552	1.27722	1.21088	1.52369	1.72591	1.91658	0.751603	0.544629	0.63615	1.02065	0.859468	1.2058	3.17216	1.58336	1.05705	1.879	1.51119
1.70809	2.49812	0.546939	0.68974	1.70407	2.49229	0.784793	-0.239191	1.27989	1.11019	1.5278	1.83755	1.91826	0.706045	0.546137	0.671509	1.02246	0.716346	1.21331	3.32747	1.58572	0.99401	1.88258	1.58691
1.70234	2.48974	0.548572	0.725703	1.69833	2.48377	0.784262	-0.220733	1.28234	1.00963	1.53217	1.94801	1.91984	0.660854	0.547728	0.707279	1.02395	0.586484	1.22116	3.46936	1.58794	0.930191	1.88633	1.66136
1.6966	2.48112	0.550288	0.762032	1.6926	2.47491	0.783775	-0.201323	1.28455	0.91003	1.53679	2.05634	1.92131	0.61632	0.549401	0.743438	1.02516	0.469771	1.22932	3.59794	1.59002	0.866092	1.88973	1.72487
1.69089	2.47223	0.552089	0.79869	1.6869	2.46585	0.783333	-0.180962	1.28654	0.812144	1.54166	2.16185	1.92251	0.578398	0.551159	0.779901	1.02612	0.365674	1.23776	3.71372	1.59194	0.802219	1.89273	1.77779
1.68519	2.46308	0.553974	0.835696	1.68122	2.45651	0.78294	-0.159721	1.2883	0.716729	1.54677	2.26386	1.92348	0.546852	0.553	0.816736	1.02685	0.273526	1.24646	3.81721	1.59372	0.739044	1.89528	1.82054
1.67952	2.45365	0.555945	0.873095	1.67557	2.44691	0.782596	-0.137639	1.28985	0.624343	1.55211	2.36174	1.92424	0.521412	0.554928	0.85394	1.02738	0.192405	1.25538	3.90919	1.59535	0.677135	1.89734	1.8537
1.67387	2.44394	0.558003	0.910984	1.66993	2.43701	0.782305	-0.114695	1.29118	0.535451	1.55767	2.45506	1.92481	0.501804	0.556941	0.891549	1.02774	0.121413	1.2645	3.99056	1.59684	0.616956	1.89888	1.87771
1.66824	2.43397	0.560149	0.978854	1.66432	2.42682	0.782067	-0.0909924	1.29232	0.450501	1.56344	2.54332	1.92522	0.487685	0.559042	0.929725	1.02794	0.0596229	1.27379	4.06205	1.5982	0.558962	1.89987	1.89283
1.66264	2.42371	0.562521	0.98873	1.65873	2.41638	0.781885	-0.0665432	1.29326	0.369794	1.5694	2.62624	1.92547	0.478849	0.561232	0.968589	1.02801	0.00613263	1.28324	4.12438	1.59942	0.503634	1.90132	1.91427
1.65706	2.41322	0.564712	0.999746	1.65317	2.40569	0.78176	-0.0413548	1.29402	0.293552	1.57556	2.70358	1.92583	0.466234	0.563512	1.00835	1.02797	-0.0398752	1.29283	4.17821	1.60052	0.451471	1.90291	1.93719
1.6515	2.40241	0.567134	1.07114	1.64763	2.39472	0.781694	-0.0155037	1.29462	0.221849	1.58188	2.77518	1.92621	0.452874	0.565885	1.04943	1.02783	-0.0792488	1.30252	4.22417	1.60151	0.402867	1.90509	1.96768
1.64597	2.39134	0.569655	1.11547	1.64212	2.38347	0.781688	0.0110449	1.29505	0.154687	1.58836	2.8409	1.92671	0.435409	0.568355	1.09245	1.0276	-0.112632	1.31232	4.26275	1.60238	0.358314	1.90791	2.00514
1.64047	2.38005	0.572282	1.16339	1.63663	2.37195	0.781745	0.0382415	1.29533	0.092175	1.59499	2.9006	1.92731	0.414019	0.570926	1.13836	1.02731	-0.140676	1.32219	4.29412	1.60316	0.318203	1.91138	2.04859
1.63499	2.36845	0.575024	1.21701	1.63117	2.36019	0.781865	0.0660186	1.29547	0.0341857	1.60175	2.95425	1.928	0.389641	0.573608	1.18874	1.02695	-0.163963	1.33214	4.3186	1.60385	0.283022	1.91555	2.09706
