Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Sym6		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6		Asym7		Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Sym6		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6		Asym7	
378  Points		427  Points		379  Points		366  Points		321  Points		301  Points		270  Points		219  Points		376  Points		375  Points		348  Points		301  Points		271  Points		215  Points		146  Points		378  Points		427  Points		379  Points		366  Points		321  Points		301  Points		270  Points		219  Points		376  Points		375  Points		348  Points		301  Points		271  Points		215  Points		146  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.258594	8.02188	0.0364517	1.05028	1.33461	2.20053	0.326858	10.3572	0.562051	17.5054	0.837537	26.3849	0.886199	27.8342	1.11956	34.5652	0.158561	6.65048	0.420691	13.6424	0.59232	19.141	0.702356	22.3535	0.979461	31.6099	1.17478	36.62	1.25953	40.689	0.258594	8.02188	0.0364517	1.05028	1.33461	2.20053	0.326858	10.3572	0.562051	17.5054	0.837537	26.3849	0.886199	27.8342	1.11956	34.5652	0.158561	6.65048	0.420691	13.6424	0.59232	19.141	0.702356	22.3535	0.979461	31.6099	1.17478	36.62	1.25953	40.689
0.257735	7.59297	0.0394528	1.08343	1.33087	2.20056	0.329257	9.8976	0.562389	16.6313	0.837474	25.036	0.887015	26.4415	1.11973	32.8388	0.160054	6.43017	0.420877	12.9322	0.593061	18.1626	0.702762	21.2134	0.979597	29.9629	1.17517	34.7807	1.25973	38.5676	0.257735	7.59297	0.0394528	1.08343	1.33087	2.20056	0.329257	9.8976	0.562389	16.6313	0.837474	25.036	0.887015	26.4415	1.11973	32.8388	0.160054	6.43017	0.420877	12.9322	0.593061	18.1626	0.702762	21.2134	0.979597	29.9629	1.17517	34.7807	1.25973	38.5676
0.256935	7.20682	0.0425114	1.11513	1.32713	2.20059	0.331681	9.48358	0.562745	15.8418	0.837415	23.8182	0.887864	25.1847	1.1199	31.2774	0.161909	6.18924	0.421078	12.2933	0.593837	17.2824	0.703191	20.1858	0.97974	28.4796	1.17559	33.119	1.25994	36.6574	0.256935	7.20682	0.0425114	1.11513	1.32713	2.20059	0.331681	9.48358	0.562745	15.8418	0.837415	23.8182	0.887864	25.1847	1.1199	31.2774	0.161909	6.18924	0.421078	12.2933	0.593837	17.2824	0.703191	20.1858	0.97974	28.4796	1.17559	33.119	1.25994	36.6574
0.256197	6.85763	0.045623	1.14543	1.32339	2.20062	0.334127	9.10873	0.563121	15.1252	0.837362	22.7134	0.888747	24.0449	1.12008	29.8583	0.16415	5.93716	0.421295	11.7155	0.594646	16.4865	0.703644	19.2548	0.97989	27.1368	1.17602	31.6103	1.26016	34.9283	0.256197	6.85763	0.045623	1.14543	1.32339	2.20062	0.334127	9.10873	0.563121	15.1252	0.837362	22.7134	0.888747	24.0449	1.12008	29.8583	0.16415	5.93716	0.421295	11.7155	0.594646	16.4865	0.703644	19.2548	0.97989	27.1368	1.17602	31.6103	1.26016	34.9283
0.255523	6.54058	0.0487831	1.17442	1.31966	2.20066	0.336594	8.76779	0.563516	14.4719	0.837315	21.7065	0.889662	23.0067	1.12028	28.5631	0.166802	5.68209	0.421528	11.1905	0.595488	15.7635	0.704119	18.4075	0.980049	25.9154	1.17648	30.2346	1.2604	33.3558	0.255523	6.54058	0.0487831	1.17442	1.31966	2.20066	0.336594	8.76779	0.563516	14.4719	0.837315	21.7065	0.889662	23.0067	1.12028	28.5631	0.166802	5.68209	0.421528	11.1905	0.595488	15.7635	0.704119	18.4075	0.980049	25.9154	1.17648	30.2346	1.2604	33.3558
0.254913	6.25167	0.051988	1.20215	1.31592	2.2007	0.339083	8.45641	0.56393	13.8741	0.837274	20.7852	0.890608	22.057	1.12048	27.3762	0.169532	5.45759	0.421778	10.7115	0.596362	15.1038	0.704618	17.6333	0.980215	24.7999	1.17695	28.975	1.26064	31.9196	0.254913	6.25167	0.051988	1.20215	1.31592	2.2007	0.339083	8.45641	0.56393	13.8741	0.837274	20.7852	0.890608	22.057	1.12048	27.3762	0.169532	5.45759	0.421778	10.7115	0.596362	15.1038	0.704618	17.6333	0.980215	24.7999	1.17695	28.975	1.26064	31.9196
0.254369	5.98755	0.055234	1.22868	1.31219	2.20074	0.34159	8.17094	0.564364	13.3249	0.83724	19.9391	0.891585	21.1851	1.12069	26.2845	0.172334	5.25866	0.422046	10.2728	0.597267	14.4996	0.70514	16.9231	0.980389	23.7769	1.17744	27.8176	1.2609	30.6028	0.254369	5.98755	0.055234	1.22868	1.31219	2.20074	0.34159	8.17094	0.564364	13.3249	0.83724	19.9391	0.891585	21.1851	1.12069	26.2845	0.172334	5.25866	0.422046	10.2728	0.597267	14.4996	0.70514	16.9231	0.980389	23.7769	1.17744	27.8176	1.2609	30.6028
0.253894	5.74539	0.0585178	1.25409	1.30845	2.20078	0.343791	7.94089	0.564819	12.8187	0.837214	19.1592	0.892592	20.382	1.12091	25.2772	0.175201	5.08133	0.422333	9.86949	0.598202	13.9441	0.705687	16.2694	0.980571	22.8355	1.17795	26.7503	1.26117	29.391	0.253894	5.74539	0.0585178	1.25409	1.30845	2.20078	0.343791	7.94089	0.564819	12.8187	0.837214	19.1592	0.892592	20.382	1.12091	25.2772	0.175201	5.08133	0.422333	9.86949	0.598202	13.9441	0.705687	16.2694	0.980571	22.8355	1.17795	26.7503	1.26117	29.391
0.253488	5.52277	0.0618366	1.27842	1.30472	2.20083	0.345677	7.75715	0.565293	12.3508	0.837197	18.4382	0.893629	19.6397	1.12113	24.3448	0.178127	4.92238	0.422639	9.49759	0.599167	13.4319	0.706257	15.6657	0.98076	21.9663	1.17848	25.7631	1.26145	28.2723	0.253488	5.52277	0.0618366	1.27842	1.30472	2.20083	0.345677	7.75715	0.565293	12.3508	0.837197	18.4382	0.893629	19.6397	1.12113	24.3448	0.178127	4.92238	0.422639	9.49759	0.599167	13.4319	0.706257	15.6657	0.98076	21.9663	1.17848	25.7631	1.26145	28.2723
0.253153	5.31763	0.0651875	1.30174	1.30099	2.20087	0.347244	7.61309	0.565788	11.9169	0.837189	17.7696	0.894694	18.9518	1.12137	23.4792	0.181107	4.77918	0.422965	9.15362	0.600161	12.9581	0.706852	15.1066	0.980958	21.1613	1.17902	24.8474	1.26174	27.2363	0.253153	5.31763	0.0651875	1.30174	1.30099	2.20087	0.347244	7.61309	0.565788	11.9169	0.837189	17.7696	0.894694	18.9518	1.12137	23.4792	0.181107	4.77918	0.422965	9.15362	0.600161	12.9581	0.706852	15.1066	0.980958	21.1613	1.17902	24.8474	1.26174	27.2363
